displayname,urlname,title,shortname,intext,moreinfohere,extinfo
Lars Michael Kristensen,Lars.Michael.Kristensen,prof.,lmkr,true,false,
Yngve Lamo,Yngve.Lamo,prof.,yla,true,false,
Rogardt Heldal,Rogardt.Heldal,prof.,rhel,true,false,
Adrian Rutle,Adrian.Rutle,prof.,aru,true,false,
Volker Stolz,Volker.Stolz,prof.,vsto,true,true,
Tosin Oyetoyan,Tosin.Daniel.Oyetoyan,assoc.prof.,,true,false,
Violet Ka I Pun,Ka.I.Pun,assoc.prof.,vpu,true,false,[[@ home](https://violet.foldr.org)]
Patrick Stünkel,,assoc.prof.,,true,false,[[@ home](https://past.corrlang.io)]
Ming-Chang (Leo) Lee,Ming-Chang.Lee,post-doc,mcle,true,false,
Harald König (FHDW),,prof.II,,false,false,[[@ FHDW](https://www.fhdw.de/de/ansprechpartner/koenig.html)]
Einar Broch Johnsen (UiO),,prof.II,,false,false,[[@ UiO](https://www.mn.uio.no/ifi/personer/vit/einarj/)]
Ferruccio Damani (University of Torino),,prof.II,,false,false,[[@ U. Torino](http://www.di.unito.it/~damiani/)]
